strain_name	species	w_norm	source	SE_prop
Kpn13	Klebsiella_spp	0.761664184791082	Alonso-del Valle et al. 2021	
Kpn08	Klebsiella_spp	0.766782825544234	Alonso-del Valle et al. 2021	
Ec25	E_coli	0.810326466935875	Alonso-del Valle et al. 2021	
Ec24	E_coli	0.825391081649289	Alonso-del Valle et al. 2021	
Ec06	E_coli	0.861208877354059	Alonso-del Valle et al. 2021	
Ec18	E_coli	0.86171134137562	Alonso-del Valle et al. 2021	
Ec04	E_coli	0.86977000935046	Alonso-del Valle et al. 2021	
Ec21	E_coli	0.878445442592755	Alonso-del Valle et al. 2021	
Kpn16	Klebsiella_spp	0.890155927048915	Alonso-del Valle et al. 2021	
Kpn11	Klebsiella_spp	0.896721652668528	Alonso-del Valle et al. 2021	
Kpn05	Klebsiella_spp	0.905938654582331	Alonso-del Valle et al. 2021	
Kpn04	Klebsiella_spp	0.91416558878333	Alonso-del Valle et al. 2021	
Kpn01	Klebsiella_spp	0.917050833643138	Alonso-del Valle et al. 2021	
Ec01	E_coli	0.924055920957339	Alonso-del Valle et al. 2021	
Kpn14	Klebsiella_spp	0.94456567768993	Alonso-del Valle et al. 2021	
Kpn20	Klebsiella_spp	0.949617120268323	Alonso-del Valle et al. 2021	
Ec03	E_coli	0.953955342	Alonso-del Valle et al. 2021	
Kpn06	Klebsiella_spp	0.95601608980681	Alonso-del Valle et al. 2021	
Kpn12	Klebsiella_spp	0.965866882638512	Alonso-del Valle et al. 2021	
Kpn23	Klebsiella_spp	0.97154624805514	Alonso-del Valle et al. 2021	
Ec08	E_coli	0.976027132013827	Alonso-del Valle et al. 2021	
Kpn17	Klebsiella_spp	0.976168092878019	Alonso-del Valle et al. 2021	
Kpn25	Klebsiella_spp	0.978516221130249	Alonso-del Valle et al. 2021	
Ec05	E_coli	0.979067930910508	Alonso-del Valle et al. 2021	
Ec19	E_coli	0.980425896592586	Alonso-del Valle et al. 2021	
Kpn24	Klebsiella_spp	0.982690056313106	Alonso-del Valle et al. 2021	
Ec07	E_coli	0.983671482676096	Alonso-del Valle et al. 2021	
Kpn02	Klebsiella_spp	0.985061177037676	Alonso-del Valle et al. 2021	
Ec20	E_coli	0.987326740136025	Alonso-del Valle et al. 2021	
Ec23	E_coli	0.990531271175502	Alonso-del Valle et al. 2021	
Kpn03	Klebsiella_spp	0.992802194723125	Alonso-del Valle et al. 2021	
Ec13	E_coli	1.00127449070521	Alonso-del Valle et al. 2021	
Ec17	E_coli	1.00242248976379	Alonso-del Valle et al. 2021	
Ec02	E_coli	1.00558520360699	Alonso-del Valle et al. 2021	
Ec09	E_coli	1.00588069480092	Alonso-del Valle et al. 2021	
Kpn07	Klebsiella_spp	1.01446667544396	Alonso-del Valle et al. 2021	
Ec22	E_coli	1.0148222902926	Alonso-del Valle et al. 2021	
Kpn09	Klebsiella_spp	1.01572283548342	Alonso-del Valle et al. 2021	
Kpn18	Klebsiella_spp	1.02377643373325	Alonso-del Valle et al. 2021	
Ec10	E_coli	1.02525618059969	Alonso-del Valle et al. 2021	
Ec16	E_coli	1.03421127011285	Alonso-del Valle et al. 2021	
Kpn10	Klebsiella_spp	1.03601275891075	Alonso-del Valle et al. 2021	
Ec11	E_coli	1.03845763	Alonso-del Valle et al. 2021	
Kpn19	Klebsiella_spp	1.04378682565005	Alonso-del Valle et al. 2021	
Kpn21	Klebsiella_spp	1.0515160386111	Alonso-del Valle et al. 2021	
Ec12	E_coli	1.05893746	Alonso-del Valle et al. 2021	
Ec15	E_coli	1.06426839979662	Alonso-del Valle et al. 2021	
Kpn22	Klebsiella_spp	1.13403540599882	Alonso-del Valle et al. 2021	
Ec14	E_coli	1.15186276791951	Alonso-del Valle et al. 2021	
Kpn15	Klebsiella_spp	1.17317741023179	Alonso-del Valle et al. 2021	
AJ_N46	E_coli	0.623415200592475	This work	0.020178580677186
AJ_C310	E_coli	0.894112984488123	This work	0.01905483999244
AJ_C728	E_coli	0.894474383900132	This work	0.011224973299581
