Strain;Species;Genotype;Rep;Rel_fitness
AJ_K308;Klebsiella_pneumoniae;WT;1;1.156178031
AJ_K308;Klebsiella_pneumoniae;WT;2;1.155782278
AJ_K308;Klebsiella_pneumoniae;WT;3;1.21244859
AJ_K308;Klebsiella_pneumoniae;WT;4;1.256931082
AJ_K308;Klebsiella_pneumoniae;WT;5;1.162357982
AJ_K308;Klebsiella_pneumoniae;WT;6;1.142229802
AJ_K88;Klebsiella_pneumoniae;WT;1;1.220853188
AJ_K88;Klebsiella_pneumoniae;WT;2;1.217793251
AJ_K88;Klebsiella_pneumoniae;WT;3;1.22169547
AJ_K88;Klebsiella_pneumoniae;WT;4;1.207093979
AJ_K88;Klebsiella_pneumoniae;WT;5;1.195896073
AJ_K88;Klebsiella_pneumoniae;WT;6;1.217149316
AJ_N23;Klebsiella_pneumoniae;WT;1;1.035290791
AJ_N23;Klebsiella_pneumoniae;WT;2;1.035182253
AJ_N23;Klebsiella_pneumoniae;WT;3;1.081964896
AJ_N23;Klebsiella_pneumoniae;WT;4;1.011719396
AJ_N23;Klebsiella_pneumoniae;WT;5;1.06607781
AJ_N23;Klebsiella_pneumoniae;WT;6;1.053873801
AJ_K244;Klebsiella_pneumoniae;WT;1;1.152738925
AJ_K244;Klebsiella_pneumoniae;WT;2;1.137752195
AJ_K244;Klebsiella_pneumoniae;WT;3;1.143096029
AJ_K244;Klebsiella_pneumoniae;WT;4;1.124003411
AJ_K244;Klebsiella_pneumoniae;WT;5;1.129615024
AJ_K244;Klebsiella_pneumoniae;WT;6;1.146622704
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;1;1.211341923
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;2;1.170922683
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;3;1.184819269
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;4;1.164318085
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;5;1.157424217
AJ_K308;Klebsiella_pneumoniae;pOXA-48_free;6;1.14322285
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;1;1.263283446
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;2;1.233590594
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;3;1.237076928
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;4;1.236686732
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;5;1.227568393
AJ_K88;Klebsiella_pneumoniae;pOXA-48_free;6;1.237393821
AJ_N23;Klebsiella_pneumoniae;pOXA-48_free;1;1.153831189
AJ_N23;Klebsiella_pneumoniae;pOXA-48_free;2;1.131588252
