Strain_id	Species_category	ST
C662	Eco	10
C642	Eco	10
C646	Eco	10
C728	Eco	10
N46	Eco	10
C310	Eco	23
C837	Eco	23
S8	Eco	23
C152	Eco	68
C153	Eco	68
C184	Eco	68
C609	Eco	99
O44	Eco	131
O65	Eco	131
C325	Eco	137
C778	Eco	354
C779	Eco	354
C790	Eco	354
S13	Eco	388
S17	Eco	388
C163	Eco	453
C164	Eco	453
C527	Eco	453
Nh27	Eco	453
L38	Eco	453
Z29	Eco	453
C288	Eco	744
C96	Eco	1196
K63	Eco	1406
F48	Kpn	11
K1	Kpn	11
K116	Kpn	11
K127	Kpn	11
K147	Kpn	11
K153	Kpn	11
K161	Kpn	11
K25	Kpn	11
K293	Kpn	11
K308	Kpn	11
K326	Kpn	11
K34	Kpn	11
K88	Kpn	11
L74	Kpn	11
N23	Kpn	11
N45	Kpn	11
X6	Kpn	11
K207	Kpn	15
K219	Kpn	15
K244	Kpn	15
J61	Kpn	307
K163	Kpn	307
K173	Kpn	307
K198	Kpn	307
K318	Kpn	307
H53	Kpn	487
CF12	other	Cfr
CF13	other	Cfr
E26	other	Ecl
J57	other	Kva
R10	other	Kas
