Strain_id	Species_category	ST
N46	Eco	10
C728	Eco	10
C717	Eco	10
C718	Eco	10
C646	Eco	10
C643	Eco	10
C642	Eco	10
C667	Eco	10
C662	Eco	10
C752	Eco	10
C165	Eco	10
C166	Eco	10
C837	Eco	23
C310	Eco	23
S8	Eco	23
C781	Eco	44
C152	Eco	68
C153	Eco	68
C184	Eco	68
F65	Eco	88
Basterisk6	Eco	99
C609	Eco	99
C610	Eco	99
O65	Eco	131
O44	Eco	131
M66	Eco	131
C784	Eco	137
C325	Eco	137
N11	Eco	155
C239	Eco	156
C779	Eco	354
C778	Eco	354
C790	Eco	354
S13	Eco	388
S17	Eco	388
Nh35	Eco	393
C272	Eco	398
C206	Eco	399
L38	Eco	453
Z29	Eco	453
C163	Eco	453
C164	Eco	453
C527	Eco	453
enye27	Eco	453
S53	Eco	457
C614	Eco	607
C288	Eco	744
C289	Eco	744
P77	Eco	1011
C96	Eco	1196
K63	Eco	1406
P27	Eco	1674
J78	Eco	1722
C704	Eco	2522
C573	Eco	2600
Casterisk44	Eco	2600
N24	Eco	3024
C777	Eco	6083
C586	Eco	-
K4	Kpn	11
H73	Kpn	11
K2	Kpn	11
K15	Kpn	11
K229	Kpn	11
K298	Kpn	11
K78	Kpn	11
K266	Kpn	11
K267	Kpn	11
K264	Kpn	11
K268	Kpn	11
K265	Kpn	11
K326	Kpn	11
K236-1	Kpn	11
K293	Kpn	11
K161	Kpn	11
K162	Kpn	11
K160	Kpn	11
N45	Kpn	11
N23	Kpn	11
K1	Kpn	11
L74	Kpn	11
K127	Kpn	11
K34	Kpn	11
G21	Kpn	11
K88	Kpn	11
K89	Kpn	11
K308	Kpn	11
K116	Kpn	11
F48	Kpn	11
X6	Kpn	11
P76	Kpn	11
K52	Kpn	11
K51	Kpn	11
K47	Kpn	11
K197	Kpn	11
K147	Kpn	11
K312	Kpn	11
K109	Kpn	11
R25	Kpn	11
K323	Kpn	11
K324	Kpn	11
K295	Kpn	11
K294	Kpn	11
F73	Kpn	11
K260	Kpn	11
K259	Kpn	11
K313	Kpn	11
F14	Kpn	11
L44	Kpn	11
K8	Kpn	11
K62	Kpn	11
L45	Kpn	11
K74	Kpn	11
K28	Kpn	11
K29	Kpn	11
N_34	Kpn	11
E73	Kpn	11
E76	Kpn	11
E74	Kpn	11
K281	Kpn	11
K280	Kpn	11
K93	Kpn	11
K263	Kpn	11
K202	Kpn	11
K319	Kpn	11
K39	Kpn	11
K24	Kpn	11
K36	Kpn	11
Kasterisk70	Kpn	11
K31	Kpn	11
K271	Kpn	11
K269	Kpn	11
K270	Kpn	11
K317	Kpn	11
L27	Kpn	11
K76	Kpn	11
N_22	Kpn	11
K25	Kpn	11
K26	Kpn	11
K57	Kpn	11
K237	Kpn	11
K238	Kpn	11
K90	Kpn	11
K152	Kpn	11
K151	Kpn	11
K153	Kpn	11
K273	Kpn	14
P47	Kpn	15
K309	Kpn	15
K244	Kpn	15
K207	Kpn	15
K219	Kpn	15
K243	Kpn	15
K221	Kpn	151
N22	Kpn	307
K235	Kpn	307
K165-2	Kpn	307
N36	Kpn	307
K314	Kpn	307
K306	Kpn	307
K315	Kpn	307
K163	Kpn	307
K164	Kpn	307
K166	Kpn	307
K199	Kpn	307
R50	Kpn	307
K172	Kpn	307
J66	Kpn	307
K198	Kpn	307
K173	Kpn	307
K174	Kpn	307
J61	Kpn	307
K318	Kpn	307
K165-1	Kpn	307
K321	Kpn	392
Basterisk5	Kpn	392
K187	Kpn	392
K188	Kpn	392
K60	Kpn	405
G9	Kpn	405
I19	Kpn	405
L2	Kpn	405
K171	Kpn	405
H53	Kpn	487
K83	Kpn	628
K84	Kpn	628
K208	Kpn	1694
R24	other	Kox
E63	other	Eae
P26	other	Kox
CF13	other	Cfr
CF12	other	Cfr
O50	other	Cfr
N33	other	Rao
E40	other	Ecl
M65	other	Ecl
E26	other	Ecl
K65	other	Kva
K73	other	Kva
G14	other	Ecl
E57	other	Ecl
G55	other	Ecl
H21	other	Ecl
E17	other	Ecl
K64	other	Kva
R9	other	Kva
J57	other	Kva
P45	other	Kox
S7	other	Kqu
K79	other	Kva
S40	other	Cfr
KA1	other	Kas
R10	other	Kas
KA2	other	Kas
KA5	other	Kas
L39	other	Kox
N6	other	Cko
K17	other	Rao
M60	other	Kas
CF15	other	Cfr
CF6	other	Cko
K150	other	Kox
Z39	other	Kox
J72	other	Cam
K301	other	Kqu
